"","id","observed_on","description","latitude","longitude","map_scale","timeframe","species_guess","user_id","taxon_id","created_at","updated_at","place_guess","id_please","observed_on_string","iconic_taxon_id","num_identification_agreements","num_identification_disagreements","time_observed_at","time_zone","location_is_exact","delta","positional_accuracy","private_latitude","private_longitude","geoprivacy","quality_grade","positioning_method","positioning_device","out_of_range","license","uri","observation_photos_count","comments_count","zic_time_zone","oauth_application_id","observation_sounds_count","identifications_count","captive","community_taxon_id","site_id","old_uuid","public_positional_accuracy","mappable","cached_votes_total","last_indexed_at","private_place_guess","uuid","taxon_geoprivacy","short_description","user_login","iconic_taxon_name","faves_count","created_at_utc","updated_at_utc","time_observed_at_utc","owners_identification_from_vision","taxon.id","taxon.name","taxon.rank","taxon.ancestry","taxon.common_name.id","taxon.common_name.name","taxon.common_name.is_valid","taxon.common_name.lexicon","iconic_taxon.id","iconic_taxon.name","iconic_taxon.rank","iconic_taxon.rank_level","iconic_taxon.ancestry","user.login","user.user_icon_url","observed_on_DATE"
"839",101368730,"2019-05-30",NA,"41.370552443","2.1730422601",NA,NA,"Senecio angulatus",2100829,363595,"2021-11-18T01:24:01.611Z","2021-11-18T01:24:04.362Z","Barcelona, ES-CT, ES",FALSE,"2019-05-30 08:50:54-10:00",47126,0,0,"2019-05-30T18:50:54.000Z","Hawaii",FALSE,FALSE,10,NA,NA,NA,"needs_id",NA,NA,NA,"CC-BY-NC-ND","https://www.inaturalist.org/observations/101368730",1,0,"Pacific/Honolulu",NA,0,1,FALSE,NA,NA,NA,10,TRUE,0,"2021-11-18T01:24:20.214Z",NA,"50a1353e-6a48-4abf-85c4-71fd427fcfcf",NA,NA,"davidcb","Plantae",0,"2021-11-18T01:24:01.611Z","2021-11-18T01:24:04.362Z","2019-05-30T18:50:54.000Z",FALSE,363595,"Senecio angulatus","species","48460/47126/211194/47125/47124/47605/47604/632790/568270/901794/53207",577549,"creeping groundsel",TRUE,"English",47126,"Plantae","kingdom",70,"48460","davidcb","https://static.inaturalist.org/attachments/users/icons/2100829/thumb.jpg?1565350798",2019-05-30
"840",39646446,"2020-03-07",NA,"41.4480066188","2.1690665679",NA,NA,"bejuco blanco",664555,77496,"2020-03-07T13:32:19.437Z","2020-03-07T23:20:58.771Z","Les Roquetes, Barcelona, España",FALSE,"2020/03/07 2:03 PM +0100",47126,0,0,"2020-03-07T13:03:00.000Z","Amsterdam",FALSE,FALSE,2,NA,NA,NA,"research",NA,NA,NA,"CC-BY-NC-SA","https://www.inaturalist.org/observations/39646446",1,0,"Europe/Amsterdam",NA,0,2,FALSE,77496,1,NA,2,TRUE,0,"2021-04-02T20:00:05.896Z",NA,"d31b447c-d03c-414e-89b1-bcc97fa5b1df",NA,NA,"noeliria","Plantae",0,"2020-03-07T13:32:19.437Z","2020-03-07T23:20:58.771Z","2020-03-07T13:03:00.000Z",TRUE,77496,"Ipomoea indica","species","48460/47126/211194/47125/47124/48515/52345/993824/52346",217607,"oceanblue morning glory",TRUE,"English",47126,"Plantae","kingdom",70,"48460","noeliria","https://static.inaturalist.org/attachments/users/icons/664555/thumb.jpg?1567701008",2020-03-07
"841",33747492,"2019-10-02",NA,"41.4430099958","2.169564957",NA,NA,"Maravilla",664555,50616,"2019-10-02T12:18:04.318Z","2019-10-02T12:43:30.512Z","Via Favència - Barri Canyelles, Barcelona, España",FALSE,"2019-10-02 2:08:15 PM GMT+02:00",47126,1,0,"2019-10-02T12:08:15.000Z","Africa/Johannesburg",FALSE,FALSE,4,NA,NA,NA,"research",NA,NA,NA,"CC-BY-NC-SA","https://www.inaturalist.org/observations/33747492",1,0,NA,2,0,2,FALSE,50616,1,NA,4,TRUE,0,"2021-04-02T20:14:06.885Z",NA,"83216737-f271-4338-9c9b-5b4a653d4901",NA,NA,"noeliria","Plantae",0,"2019-10-02T12:18:04.318Z","2019-10-02T12:43:30.512Z","2019-10-02T12:08:15.000Z",TRUE,50616,"Mirabilis jalapa","species","48460/47126/211194/47125/47124/47366/50256/50615",86478,"Marvel of Peru",TRUE,"English",47126,"Plantae","kingdom",70,"48460","noeliria","https://static.inaturalist.org/attachments/users/icons/664555/thumb.jpg?1567701008",2019-10-02
"842",102161164,"2021-11-29","","41.3996564894","2.1718582897",NA,NA,"Asian ponysfoot",5238450,76650,"2021-11-29T10:21:34.516Z","2021-12-11T09:06:44.037Z","Avinguda Diagonal, Barcelona, Barcelona, ES",FALSE,"Mon Nov 29 2021 11:21:21 GMT+0100 (GMT+1)",47126,2,0,"2021-11-29T10:21:21.000Z","Amsterdam",FALSE,FALSE,14,NA,NA,NA,"casual",NA,NA,NA,"CC-BY-NC","https://www.inaturalist.org/observations/102161164",1,0,"Europe/Amsterdam",3,0,2,TRUE,76650,1,NA,14,TRUE,0,"2021-12-11T09:06:44.500Z",NA,"d52ba05d-8e6d-4577-8d61-a8ef11a1f08f","open","","nuriapallares","Plantae",0,"2021-11-29T10:21:34.516Z","2021-12-11T09:06:44.037Z","2021-11-29T10:21:21.000Z",NA,76650,"Dichondra micrantha","species","48460/47126/211194/47125/47124/48515/52345/993830/61178",524995,"Asian ponysfoot",TRUE,"English",47126,"Plantae","kingdom",70,"48460","nuriapallares",NA,2021-11-29
"843",102161208,"2021-11-29","","41.3995433333","2.1719183333",NA,NA,"Dichondra micrantha",5197432,76650,"2021-11-29T10:23:18.036Z","2021-12-08T18:56:09.320Z","08013 Barcelona, España",FALSE,"2021-11-29 11:23:05",47126,0,0,"2021-11-29T10:23:05.000Z","Madrid",FALSE,FALSE,9,NA,NA,NA,"casual",NA,"",NA,NA,"https://www.inaturalist.org/observations/102161208",1,0,"Europe/Madrid",2,0,1,TRUE,NA,1,NA,9,TRUE,0,"2021-12-08T18:56:19.803Z",NA,"cd3ae764-28aa-4bcf-8129-0becbfdca6b9","open","","elena858","Plantae",0,"2021-11-29T10:23:18.036Z","2021-12-08T18:56:09.320Z","2021-11-29T10:23:05.000Z",FALSE,76650,"Dichondra micrantha","species","48460/47126/211194/47125/47124/48515/52345/993830/61178",524995,"Asian ponysfoot",TRUE,"English",47126,"Plantae","kingdom",70,"48460","elena858",NA,2021-11-29
"844",62617907,"2018-04-28","","41.4178646","2.1714654",NA,NA,"tree privet",15542,77740,"2020-10-15T05:36:59.554Z","2021-10-22T01:06:00.247Z","Barcelona, ES-CT, ES",FALSE,"2018-04-28T17:40:47+00:00",47126,1,0,"2018-04-28T15:40:47.000Z","Pretoria",FALSE,FALSE,19,NA,NA,NA,"research",NA,NA,NA,"CC-BY-NC","https://www.inaturalist.org/observations/62617907",1,0,"Africa/Johannesburg",NA,0,2,FALSE,77740,22,NA,19,TRUE,0,"2021-12-07T04:33:27.689Z",NA,"66044779-eeda-4cda-a325-6436fc0740af","open","","bernat","Plantae",0,"2020-10-15T05:36:59.554Z","2021-10-22T01:06:00.247Z","2018-04-28T15:40:47.000Z",FALSE,77740,"Ligustrum lucidum","species","48460/47126/211194/47125/47124/48151/47733/69819",638410,"tree privet",TRUE,"English",47126,"Plantae","kingdom",70,"48460","bernat","https://static.inaturalist.org/attachments/users/icons/15542/thumb.jpg?1475535629",2018-04-28
"845",65067234,"2020-11-17","","41.4255335477","2.171222469",NA,NA,"Lantana camara",3836552,50333,"2020-11-17T09:40:45.968Z","2020-11-17T20:55:57.907Z","Calle de Sant Martí de Porres, Barcelona, Cataluña, ES",FALSE,"Tue Nov 17 2020 10:19:58 GMT+0100 (GMT+1)",47126,2,0,"2020-11-17T09:19:58.000Z","Paris",FALSE,FALSE,65,NA,NA,NA,"research",NA,NA,NA,"CC-BY-NC","https://www.inaturalist.org/observations/65067234",2,0,"Europe/Paris",3,0,3,FALSE,50333,1,NA,65,TRUE,0,"2020-11-17T20:56:09.685Z",NA,"4465c007-c619-4d40-8a05-0af93fefd924",NA,"","adriacasanovas","Plantae",0,"2020-11-17T09:40:45.968Z","2020-11-17T20:55:57.907Z","2020-11-17T09:19:58.000Z",TRUE,50333,"Lantana camara","species","48460/47126/211194/47125/47124/48151/49194/936164/50334",587409,"common lantana",TRUE,"English",47126,"Plantae","kingdom",70,"48460","adriacasanovas",NA,2020-11-17
"846",66000775,"2020-12-02","Han pasast dos setmanes i no ha pasat res
","41.425227764","2.1712430626",NA,NA,"common lantana",3836552,50333,"2020-12-02T14:24:13.680Z","2020-12-21T15:56:36.808Z","Calle del Arco de San Martín, Barcelona, Cataluña, ES",FALSE,"Wed Dec 02 2020 15:20:54 GMT+0100 (GMT+1)",47126,2,0,"2020-12-02T14:20:54.000Z","Paris",FALSE,FALSE,65,NA,NA,NA,"research",NA,NA,NA,"CC-BY-NC","https://www.inaturalist.org/observations/66000775",2,0,"Europe/Paris",3,0,3,FALSE,50333,1,NA,65,TRUE,0,"2020-12-21T15:56:40.587Z",NA,"9d9f549b-6d55-42cc-aee7-d3563a98dae7",NA,"Han pasast dos setmanes i no ha pasat res
","adriacasanovas","Plantae",0,"2020-12-02T14:24:13.680Z","2020-12-21T15:56:36.808Z","2020-12-02T14:20:54.000Z",FALSE,50333,"Lantana camara","species","48460/47126/211194/47125/47124/48151/49194/936164/50334",587409,"common lantana",TRUE,"English",47126,"Plantae","kingdom",70,"48460","adriacasanovas",NA,2020-12-02
"847",79501727,"2021-05-20","","41.4251654339","2.1712733983",NA,NA,"",3836552,50334,"2021-05-20T10:08:50.719Z","2021-05-20T10:13:55.594Z","Calle del Arco de San Martín, Barcelona, Cataluña, ES",FALSE,"Thu May 20 2021 12:06:07 GMT+0200 (GMT+2)",47126,0,0,"2021-05-20T10:06:07.000Z","Pretoria",FALSE,FALSE,43,NA,NA,NA,"needs_id",NA,NA,NA,"CC-BY-NC","https://www.inaturalist.org/observations/79501727",2,0,"Africa/Johannesburg",3,0,1,FALSE,NA,1,NA,43,TRUE,0,"2021-05-20T10:33:03.891Z",NA,"ac857a46-b9f6-4be2-82ae-e8c64ab8ccb7",NA,"","adriacasanovas","Plantae",0,"2021-05-20T10:08:50.719Z","2021-05-20T10:13:55.594Z","2021-05-20T10:06:07.000Z",FALSE,50334,"Lantana","genus","48460/47126/211194/47125/47124/48151/49194/936164",NA,NA,NA,NA,47126,"Plantae","kingdom",70,"48460","adriacasanovas",NA,2021-05-20
"848",102161202,"2021-11-29","","41.3998402319","2.1726621224",NA,NA,"Asian ponysfoot",5238450,76650,"2021-11-29T10:22:58.060Z","2021-12-11T09:06:37.088Z","Avinguda Diagonal, Barcelona, Barcelona, ES",FALSE,"Mon Nov 29 2021 11:22:40 GMT+0100 (GMT+1)",47126,2,0,"2021-11-29T10:22:40.000Z","Amsterdam",FALSE,FALSE,40,NA,NA,NA,"casual",NA,NA,NA,"CC-BY-NC","https://www.inaturalist.org/observations/102161202",1,0,"Europe/Amsterdam",3,0,3,TRUE,76650,1,NA,40,TRUE,0,"2021-12-11T09:06:42.009Z",NA,"97e20413-2316-4c40-a664-1f248e6516c2","open","","nuriapallares","Plantae",0,"2021-11-29T10:22:58.060Z","2021-12-11T09:06:37.088Z","2021-11-29T10:22:40.000Z",NA,76650,"Dichondra micrantha","species","48460/47126/211194/47125/47124/48515/52345/993830/61178",524995,"Asian ponysfoot",TRUE,"English",47126,"Plantae","kingdom",70,"48460","nuriapallares",NA,2021-11-29
