"","latitud","longitud","taxon.name"
"33",41.383425,2.1072933333,"Dichondra micrantha"
"34",41.383145,2.1073116667,"Dichondra micrantha"
"37",41.3830733333,2.1074316667,"Dichondra micrantha"
"40",41.3832,2.10748,"Dichondra micrantha"
"45",41.3838516667,2.1077016667,"Dichondra micrantha"
"49",41.3839316667,2.108945,"Dichondra micrantha"
"50",41.3831433333,2.1090466667,"Dichondra micrantha"
"51",41.38341,2.1090366667,"Dichondra micrantha"
"52",41.3838633333,2.1090283333,"Dichondra micrantha"
"53",41.3843083333,2.109165,"Dichondra micrantha"
"56",41.38421,2.10939,"Dichondra micrantha"
"58",41.3845433333,2.1099983333,"Dichondra micrantha"
"59",41.383965,2.1105883333,"Dichondra micrantha"
"73",41.3850616667,2.1115783333,"Dichondra micrantha"
"77",41.3845266667,2.111695,"Dichondra micrantha"
"84",41.3850383333,2.1120133333,"Dichondra micrantha"
"101",41.3850533333,2.112475,"Dichondra micrantha"
"103",41.3854717,2.112737,"Dichondra micrantha"
"116",41.3848066667,2.1135533333,"Dichondra micrantha"
"120",41.3848,2.11377,"Dichondra micrantha"
"130",41.385615,2.1152966667,"Dichondra micrantha"
"131",41.385645,2.1154233333,"Dichondra micrantha"
"132",41.385655,2.11544,"Dichondra micrantha"
"140",41.3858466667,2.1159133333,"Dichondra micrantha"
"141",41.3851516667,2.1160133333,"Dichondra micrantha"
"142",41.385085,2.1160516667,"Dichondra micrantha"
"144",41.385825,2.1161083333,"Dichondra micrantha"
"146",41.3850666667,2.1162916667,"Dichondra micrantha"
"148",41.3852566667,2.116385,"Dichondra micrantha"
"153",41.3861033333,2.1175583333,"Dichondra micrantha"
"157",41.3867533333,2.1193616667,"Dichondra micrantha"
"159",41.38493,2.1197566667,"Dichondra micrantha"
"177",41.3873233333,2.121255,"Dichondra micrantha"
"178",41.3873716667,2.1214516667,"Dichondra micrantha"
"184",41.3879166667,2.1224783333,"Dichondra micrantha"
"185",41.3875883333,2.1226666667,"Dichondra micrantha"
"188",41.38678,2.12297,"Dichondra micrantha"
"192",41.38801,2.1232483333,"Dichondra micrantha"
"193",41.3880033333,2.1232983333,"Dichondra micrantha"
"194",41.3871516667,2.1235166667,"Dichondra micrantha"
"197",41.3871816667,2.1236233333,"Dichondra micrantha"
"199",41.3870716667,2.1237666667,"Dichondra micrantha"
"200",41.3879966667,2.1237316667,"Dichondra micrantha"
"201",41.3877033333,2.1237516667,"Dichondra micrantha"
"202",41.3875266667,2.1238933333,"Dichondra micrantha"
"204",41.3871683333,2.123965,"Dichondra micrantha"
"205",41.387235,2.1240166667,"Dichondra micrantha"
"206",41.388085,2.124155,"Dichondra micrantha"
"207",41.3880916667,2.1243733333,"Dichondra micrantha"
"208",41.38822,2.1248316667,"Dichondra micrantha"
"210",41.3882416667,2.1249716667,"Dichondra micrantha"
"211",41.3872566667,2.1250283333,"Dichondra micrantha"
"214",41.3880316667,2.125045,"Dichondra micrantha"
"215",41.3873133333,2.1251266667,"Dichondra micrantha"
"216",41.387615,2.1252383333,"Dichondra micrantha"
"218",41.3879566667,2.1255866667,"Dichondra micrantha"
"223",41.38846,2.12625,"Dichondra micrantha"
"225",41.3876933333,2.1266783333,"Dichondra micrantha"
"228",41.3877433333,2.1272016667,"Dichondra micrantha"
