"","taxon.name","cartodb_id","comarca","provincia","nom_comar","sup_comar","geometry"
"59","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1105883333, 41.383965)
"60","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.110905, 41.3849116667)
"61","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.11095, 41.3848966667)
"62","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1109533333, 41.384905)
"63","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1109683333, 41.3848566667)
"64","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1110316667, 41.3849616667)
"65","Mesembryanthemum cordifolium",19,13,"08","Barcelonès",146.29,c(2.1115683333, 41.375225)
"66","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.1111416667, 41.3849166667)
"67","Mesembryanthemum cordifolium",19,13,"08","Barcelonès",146.29,c(2.1117033333, 41.375145)
"68","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1113316667, 41.38447)
"69","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1113766667, 41.384445)
"70","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.111445, 41.3850216667)
"71","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.111445, 41.38512)
"72","Mesembryanthemum cordifolium",19,13,"08","Barcelonès",146.29,c(2.111985, 41.3745866667)
"73","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1115783333, 41.3850616667)
"74","Senecio angulatus",19,13,"08","Barcelonès",146.29,c(2.112135, 41.3750766667)
"75","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.1116366667, 41.3849916667)
"76","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1116416667, 41.3850683333)
"77","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.111695, 41.3845266667)
"78","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.1116983333, 41.3849983333)
"79","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.111725, 41.3852366667)
"80","Mesembryanthemum cordifolium",19,13,"08","Barcelonès",146.29,c(2.1123333333, 41.37535)
"81","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1118916667, 41.384385)
"82","Mesembryanthemum cordifolium",19,13,"08","Barcelonès",146.29,c(2.11239, 41.3752433333)
"83","Mirabilis jalapa",19,13,"08","Barcelonès",146.29,c(2.112415, 41.3752266667)
"84","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1120133333, 41.3850383333)
"85","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1120133333, 41.3850466667)
"86","Ipomoea indica",19,13,"08","Barcelonès",146.29,c(2.1130180188, 41.3668275333)
"87","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1121033333, 41.3851016667)
"88","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1121066667, 41.385215)
"89","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.11211, 41.3852066667)
"90","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1121333333, 41.3850516667)
"91","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1121433333, 41.3850783333)
"92","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1121933333, 41.385035)
"93","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1122083333, 41.3848183333)
"94","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1122183333, 41.38503)
"95","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1122583333, 41.3851516667)
"96","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.1124016667, 41.3851583333)
"97","Lantana camara",19,13,"08","Barcelonès",146.29,c(2.1124333333, 41.384775)
"98","Lantana camara",19,13,"08","Barcelonès",146.29,c(2.1124366667, 41.38478)
"99","Lantana camara",19,13,"08","Barcelonès",146.29,c(2.112455, 41.3847666667)
"100","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.1124483333, 41.3851616667)
"101","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.112475, 41.3850533333)
"102","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.112675, 41.3851083333)
"103","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.112737, 41.3854717)
"104","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.112775, 41.3852033333)
"105","Kalanchoe × houghtonii",19,13,"08","Barcelonès",146.29,c(2.1128202975, 41.3871760215)
"106","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.1130783333, 41.38535)
"107","Senecio angulatus",19,13,"08","Barcelonès",146.29,c(2.11315, 41.3844466667)
"108","Senecio angulatus",19,13,"08","Barcelonès",146.29,c(2.113205, 41.3842633333)
"109","Senecio angulatus",19,13,"08","Barcelonès",146.29,c(2.1132166667, 41.3842083333)
"110","Senecio angulatus",19,13,"08","Barcelonès",146.29,c(2.1132516667, 41.3842383333)
"111","Senecio angulatus",19,13,"08","Barcelonès",146.29,c(2.113315, 41.384275)
"112","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.1133483333, 41.38514)
"113","Senecio angulatus",19,13,"08","Barcelonès",146.29,c(2.1134, 41.3841283333)
"114","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.11342, 41.3852166667)
"115","Senecio angulatus",19,13,"08","Barcelonès",146.29,c(2.1135366667, 41.3841866667)
"116","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1135533333, 41.3848066667)
"117","Senecio angulatus",19,13,"08","Barcelonès",146.29,c(2.1136783333, 41.3842283333)
"118","Senecio angulatus",19,13,"08","Barcelonès",146.29,c(2.113745, 41.3843383333)
"119","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.1137266667, 41.38519)
"120","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.11377, 41.3848)
